Chr	Start	Stop	Type
1	1	801	telomere
1	22230	22552	long_terminal_repeat
1	138831	138992	long_terminal_repeat
1	160105	160237	long_terminal_repeat
1	160238	160574	long_terminal_repeat
1	160238	166162	retrotransposon
1	165826	166162	long_terminal_repeat
1	182620	182959	long_terminal_repeat
1	183142	183474	long_terminal_repeat
1	189426	189757	long_terminal_repeat
1	209448	209778	long_terminal_repeat
1	229411	230218	telomere
2	1	6608	telomere
2	8848	9092	long_terminal_repeat
2	9093	9424	long_terminal_repeat
2	9425	9518	long_terminal_repeat
2	29644	29975	long_terminal_repeat
2	29644	35602	retrotransposon
2	35271	35602	long_terminal_repeat
2	35604	35796	long_terminal_repeat
2	35851	36221	long_terminal_repeat
2	197016	197320	long_terminal_repeat
2	197714	198054	long_terminal_repeat
2	220895	221036	long_terminal_repeat
2	221037	221370	long_terminal_repeat
2	221037	226952	retrotransposon
2	226621	226952	long_terminal_repeat
2	258670	258976	long_terminal_repeat
2	259578	259909	long_terminal_repeat
2	259578	265494	retrotransposon
2	265163	265494	long_terminal_repeat
2	266178	266256	long_terminal_repeat
2	327069	327394	long_terminal_repeat
2	327390	327704	long_terminal_repeat
2	350459	350751	long_terminal_repeat
2	643488	643858	long_terminal_repeat
2	643859	644002	long_terminal_repeat
2	644362	644603	long_terminal_repeat
2	812379	813184	telomere
3	1	1098	telomere
3	1179	1429	long_terminal_repeat
3	1179	4322	retrotransposon
3	4073	4322	long_terminal_repeat
3	83377	83713	long_terminal_repeat
3	83732	83871	long_terminal_repeat
3	84746	84971	long_terminal_repeat
3	84972	85303	long_terminal_repeat
3	85307	85395	long_terminal_repeat
3	85488	85819	long_terminal_repeat
3	85488	91446	retrotransposon
3	91115	91446	long_terminal_repeat
3	125295	125626	long_terminal_repeat
3	143919	144241	long_terminal_repeat
3	150643	150970	long_terminal_repeat
3	151381	151712	long_terminal_repeat
3	151856	152216	long_terminal_repeat
3	152682	153012	long_terminal_repeat
3	170734	171049	long_terminal_repeat
3	292534	292873	long_terminal_repeat
3	293083	293328	long_terminal_repeat
3	296164	296491	long_terminal_repeat
3	297119	297351	long_terminal_repeat
3	316944	317781	telomere
4	1	904	telomere
4	434423	434739	long_terminal_repeat
4	437149	437518	long_terminal_repeat
4	512986	513258	long_terminal_repeat
4	513259	513590	long_terminal_repeat
4	513692	514020	long_terminal_repeat
4	513692	519647	retrotransposon
4	519316	519647	long_terminal_repeat
4	520173	520475	long_terminal_repeat
4	520477	520805	long_terminal_repeat
4	520806	520833	long_terminal_repeat
4	645502	645835	long_terminal_repeat
4	645502	651419	retrotransposon
4	651086	651419	long_terminal_repeat
4	651420	651503	long_terminal_repeat
4	651682	651980	long_terminal_repeat
4	668096	668436	long_terminal_repeat
4	668543	668784	long_terminal_repeat
4	802905	803235	long_terminal_repeat
4	871821	872152	long_terminal_repeat
4	871821	877779	retrotransposon
4	877448	877779	long_terminal_repeat
4	878303	884220	retrotransposon
4	945351	945673	long_terminal_repeat
4	945955	946295	long_terminal_repeat
4	981171	981502	long_terminal_repeat
4	981171	987125	retrotransposon
4	986794	987125	long_terminal_repeat
4	987150	987483	long_terminal_repeat
4	987150	992642	retrotransposon
4	992309	992642	long_terminal_repeat
4	992740	992815	long_terminal_repeat
4	1023137	1023477	long_terminal_repeat
4	1095767	1096104	long_terminal_repeat
4	1095767	1101692	retrotransposon
4	1101355	1101692	long_terminal_repeat
4	1151039	1151368	long_terminal_repeat
4	1175134	1175812	long_terminal_repeat
4	1175316	1175647	long_terminal_repeat
4	1206704	1207037	long_terminal_repeat
4	1206704	1212621	retrotransposon
4	1212288	1212621	long_terminal_repeat
4	1352644	1352975	long_terminal_repeat
4	1352976	1353226	long_terminal_repeat
4	1518484	1518807	long_terminal_repeat
4	1524625	1531933	telomere
5	1	6473	telomere
5	62081	62756	long_terminal_repeat
5	62142	62474	long_terminal_repeat
5	99490	99664	long_terminal_repeat
5	118230	118551	long_terminal_repeat
5	135612	135939	long_terminal_repeat
5	137324	137639	long_terminal_repeat
5	138221	138553	long_terminal_repeat
5	176705	176856	long_terminal_repeat
5	249109	249331	long_terminal_repeat
5	249445	249752	long_terminal_repeat
5	249930	250270	long_terminal_repeat
5	287745	288062	long_terminal_repeat
5	312274	312445	long_terminal_repeat
5	353399	353735	long_terminal_repeat
5	354136	354850	long_terminal_repeat
5	354360	354730	long_terminal_repeat
5	354851	354917	long_terminal_repeat
5	431490	431822	long_terminal_repeat
5	434631	434971	long_terminal_repeat
5	435128	435447	long_terminal_repeat
5	435946	436277	long_terminal_repeat
5	436279	436605	long_terminal_repeat
5	442734	443072	long_terminal_repeat
5	443397	443733	long_terminal_repeat
5	443397	449320	retrotransposon
5	444834	445139	long_terminal_repeat
5	448984	449320	long_terminal_repeat
5	487834	488165	long_terminal_repeat
5	492695	492833	long_terminal_repeat
5	492695	498421	retrotransposon
5	498084	498421	long_terminal_repeat
5	551442	551773	long_terminal_repeat
5	552040	552267	long_terminal_repeat
5	563928	564024	long_terminal_repeat
5	568791	569024	long_terminal_repeat
5	569599	576874	telomere
6	1	5530	telomere
6	100581	100901	long_terminal_repeat
6	137663	137912	long_terminal_repeat
6	137913	138240	long_terminal_repeat
6	137913	143871	retrotransposon
6	143540	143871	long_terminal_repeat
6	143872	143947	long_terminal_repeat
6	144203	144523	long_terminal_repeat
6	144524	144822	long_terminal_repeat
6	158376	158686	long_terminal_repeat
